"Yr","Seas","FltSvy","Gender","Part","Ageerr","Lbin_lo","Lbin_hi","Nsamp","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","m13","m14","m15","m16","m17","m18","m19","m20","m21"
1985,7,2,1,0,1,24,24,20,0,0,0,5,8,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1985,7,2,1,0,1,26,26,16,0,0,0,1,5,3,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0
1985,7,2,1,0,1,28,28,18,0,0,0,0,2,7,5,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,5,2,1,0,1,0,0,0,0,0,0,0,0,0,0
1985,7,2,1,0,1,30,30,17,0,0,0,0,0,3,5,1,4,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,5,1,4,2,1,0,0,0,1,0,0,0,0,0,0
1985,7,2,1,0,1,32,32,16,0,0,0,0,0,0,5,4,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2,2,1,2,0,0,0,0,0,0,0,0,0
1985,7,2,1,0,1,34,34,15,0,0,0,0,0,2,2,0,2,5,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,2,5,0,2,0,0,1,1,0,0,0,0,0
1985,7,2,1,0,1,36,36,12,0,0,0,0,0,0,1,2,1,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,2,3,1,0,0,0,0,0,0,0,0
1985,7,2,1,0,1,38,38,15,0,0,0,0,0,0,0,0,2,2,4,3,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,4,3,1,1,0,1,0,0,1,0,0
1985,7,2,1,0,1,40,40,15,0,0,0,0,0,0,0,0,1,0,0,8,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,8,3,0,0,1,1,0,0,0,1
1985,7,2,1,0,1,42,42,8,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,3,0,0,0,0,0
1985,7,2,1,0,1,44,44,8,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,3,0,0,0,0,1
1985,7,2,1,0,1,46,46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1985,7,2,1,0,1,48,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1992,7,2,1,0,1,10,10,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,7,2,1,0,1,12,12,5,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,7,2,1,0,1,14,14,6,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,7,2,1,0,1,16,16,10,0,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,7,2,1,0,1,18,18,15,0,0,3,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,7,2,1,0,1,20,20,12,0,0,1,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,7,2,1,0,1,22,22,14,0,0,0,0,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,7,2,1,0,1,24,24,13,0,0,0,0,3,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1992,7,2,1,0,1,26,26,12,0,0,0,0,2,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1992,7,2,1,0,1,28,28,16,0,0,0,0,0,2,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0
1992,7,2,1,0,1,30,30,15,0,0,0,0,0,2,2,4,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,6,0,0,0,1,0,0,0,0,0,0,0,0
1992,7,2,1,0,1,32,32,14,0,0,0,0,0,1,2,3,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,4,0,1,0,0,0,0,0,0,0,0,0
1992,7,2,1,0,1,34,34,15,0,0,0,0,0,0,0,2,3,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,3,1,0,0,0,0,0,0,0,0,0
1992,7,2,1,0,1,36,36,15,0,0,0,0,0,0,1,0,2,0,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,5,5,1,1,0,0,0,0,0,0,0
1992,7,2,1,0,1,38,38,13,0,0,0,0,0,0,0,0,2,0,4,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,5,1,0,1,0,0,0,0,0,0
1992,7,2,1,0,1,40,40,14,0,0,0,0,0,0,0,0,1,1,1,5,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,4,0,0,1,1,0,0,0,0
1992,7,2,1,0,1,42,42,11,0,0,0,0,0,0,0,0,0,0,0,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,1,0,0,0,0,0,0
1992,7,2,1,0,1,44,44,11,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,2,1,1,0,0,0
1992,7,2,1,0,1,46,46,12,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,0,0,0,0,1
1992,7,2,1,0,1,48,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1992,7,2,1,0,1,52,52,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1993,7,2,1,0,1,20,20,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,7,2,1,0,1,22,22,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,7,2,1,0,1,24,24,4,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,7,2,1,0,1,26,26,4,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,7,2,1,0,1,28,28,6,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
1993,7,2,1,0,1,30,30,5,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0
1993,7,2,1,0,1,32,32,5,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0
1993,7,2,1,0,1,34,34,6,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0
1993,7,2,1,0,1,36,36,8,0,0,0,0,0,0,0,1,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,2,0,0,0,0,0,0,0,0,0
1993,7,2,1,0,1,38,38,7,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0,0,0,0,0,0,0
1993,7,2,1,0,1,40,40,7,0,0,0,0,0,0,0,0,0,1,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,1,0,0,0,0,0,0
1993,7,2,1,0,1,42,42,10,0,0,0,0,0,0,0,0,0,0,2,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,1,1,0,0,0,0,0,0
1993,7,2,1,0,1,44,44,7,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,0,0,0,0,0,0
1993,7,2,1,0,1,46,46,5,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0
1993,7,2,1,0,1,48,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1994,7,2,1,0,1,10,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,7,2,1,0,1,12,12,7,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,7,2,1,0,1,14,14,9,0,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,7,2,1,0,1,16,16,15,0,0,8,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,7,2,1,0,1,18,18,13,0,0,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,7,2,1,0,1,20,20,10,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,7,2,1,0,1,22,22,8,0,0,0,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,7,2,1,0,1,24,24,10,0,0,0,0,4,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1994,7,2,1,0,1,26,26,12,0,0,0,0,0,4,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0
1994,7,2,1,0,1,28,28,8,0,0,0,0,0,1,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0
1994,7,2,1,0,1,30,30,14,0,0,0,0,0,0,5,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,2,0,1,0,0,0,0,0,0,0,0,0
1994,7,2,1,0,1,32,32,17,0,0,0,0,0,0,2,5,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,4,4,2,0,0,0,0,0,0,0,0,0,0
1994,7,2,1,0,1,34,34,15,0,0,0,0,0,0,2,3,2,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,4,2,1,0,1,0,0,0,0,0,0,0
1994,7,2,1,0,1,36,36,11,0,0,0,0,0,0,0,1,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,1,0,1,0,0,0,0,0,0,0,0
1994,7,2,1,0,1,38,38,11,0,0,0,0,0,0,0,0,0,2,2,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1,1,1,0,1,0,0,0,0
1994,7,2,1,0,1,40,40,13,0,0,0,0,0,0,0,0,0,2,2,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,0,3,0,0,0,0,0,0
1994,7,2,1,0,1,42,42,14,0,0,0,0,0,0,0,0,0,1,2,2,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5,2,0,2,0,0,0,0,0
1994,7,2,1,0,1,44,44,7,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,1,0,0,0,0,0
1994,7,2,1,0,1,46,46,5,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0
1994,7,2,1,0,1,48,48,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
1994,7,2,1,0,1,50,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1995,7,2,1,0,1,12,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,7,2,1,0,1,14,14,6,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,7,2,1,0,1,16,16,10,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,7,2,1,0,1,18,18,14,0,0,3,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,7,2,1,0,1,20,20,13,0,0,0,6,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,7,2,1,0,1,22,22,10,0,0,0,2,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,7,2,1,0,1,24,24,10,0,0,0,0,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,7,2,1,0,1,26,26,15,0,0,0,1,1,2,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,7,2,1,0,1,28,28,8,0,0,0,0,0,0,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0
1995,7,2,1,0,1,30,30,18,0,0,0,0,0,1,1,6,5,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,5,3,0,2,0,0,0,0,0,0,0,0,0
1995,7,2,1,0,1,32,32,12,0,0,0,0,0,0,1,5,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,3,1,0,0,0,0,0,0,0,0,0,0
1995,7,2,1,0,1,34,34,16,0,0,0,0,0,0,2,2,3,2,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,2,3,1,0,3,0,0,0,0,0,0,0
1995,7,2,1,0,1,36,36,13,0,0,0,0,0,0,1,5,1,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,2,3,0,1,0,0,0,0,0,0,0,0
1995,7,2,1,0,1,38,38,13,0,0,0,0,0,0,0,0,2,1,3,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,4,2,0,1,0,0,0,0,0,0
1995,7,2,1,0,1,40,40,12,0,0,0,0,0,0,0,0,0,2,3,2,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,1,1,2,0,0,1,0,0,0
1995,7,2,1,0,1,42,42,15,0,0,0,0,0,0,0,0,0,0,0,3,5,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,3,2,0,0,0,0,0
1995,7,2,1,0,1,44,44,9,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,1
1995,7,2,1,0,1,46,46,9,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2,0,1,0,0,0
1995,7,2,1,0,1,48,48,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,1,1,0,0
1995,7,2,1,0,1,50,50,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
1999,7,2,1,0,1,12,12,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,7,2,1,0,1,14,14,11,0,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,7,2,1,0,1,16,16,11,0,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,7,2,1,0,1,18,18,8,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,7,2,1,0,1,20,20,4,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,7,2,1,0,1,22,22,7,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,7,2,1,0,1,24,24,6,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,7,2,1,0,1,26,26,11,0,0,0,0,5,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1999,7,2,1,0,1,28,28,7,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1999,7,2,1,0,1,30,30,15,0,0,0,0,1,2,5,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,5,0,0,1,1,0,0,0,0,0,0,0,0,0
1999,7,2,1,0,1,32,32,13,0,0,0,0,0,0,3,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,1,1,0,0,0,0,0,0,0,0,0,0
1999,7,2,1,0,1,34,34,18,0,0,0,0,0,0,1,7,2,0,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,7,2,0,2,2,1,1,1,1,0,0,0,0,0
1999,7,2,1,0,1,36,36,19,0,0,0,0,0,0,0,2,2,6,5,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,6,5,2,0,0,1,0,0,1,0,0,0
1999,7,2,1,0,1,38,38,16,0,0,0,0,0,0,0,0,0,4,6,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,1,0,0,0,1,0,0,0,0
1999,7,2,1,0,1,40,40,17,0,0,0,0,0,0,0,0,1,5,4,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,1,4,1,0,1,0,0,0,0,0
1999,7,2,1,0,1,42,42,16,0,0,0,0,0,0,0,0,0,0,2,3,3,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,2,2,2,1,1,0,0,0
1999,7,2,1,0,1,44,44,17,0,0,0,0,0,0,0,0,0,0,1,1,3,1,2,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,2,2,3,2,1,1,0
1999,7,2,1,0,1,46,46,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,4,1,0,1
